n,t_s,x_m,y_m,z_m
0,0.000,0.0427,2.2620,1.4258
1,0.100,0.0451,2.4930,1.7108
2,0.200,0.1423,2.2260,1.7734
3,0.300,-0.0988,3.3960,2.1733
4,0.400,2.9813,3.7540,2.3383
5,0.500,2.5376,3.7540,2.0389
6,0.600,2.5548,3.8170,2.1123
7,0.700,2.5299,4.0860,2.1385
8,0.800,2.3660,5.0510,2.1581
9,0.901,2.2147,4.0860,2.0951
10,1.034,2.2155,4.5350,2.0547
11,1.134,2.8400,-0.1900,2.1894
12,1.234,2.8248,-0.1900,2.1894
13,1.334,2.8472,-0.1730,2.1869
14,1.434,2.8400,-0.1900,2.1855
15,1.534,2.8362,-0.1990,2.1848
16,1.634,2.8328,-0.2070,2.1842
17,1.734,2.8210,-0.1990,2.1886
18,1.834,2.8586,-0.1460,2.1929
19,1.934,2.8366,-0.2070,2.1842
20,2.034,2.8370,-0.2150,2.1798
21,2.134,2.8438,-0.1990,2.1848
22,2.235,2.8549,-0.1730,2.1869
23,2.335,2.8549,-0.1730,2.1869
24,2.437,2.8549,-0.1730,2.1869
25,2.568,2.8663,-0.1370,2.1858
26,2.668,2.8438,-0.1900,2.1817
27,2.768,2.8515,-0.1810,2.1824
28,2.868,2.8626,-0.1640,2.1837
29,2.968,2.8553,-0.1810,2.1824
30,3.068,2.8480,-0.2070,2.1804
31,3.202,2.8780,-0.1550,2.1883
32,3.302,2.8936,-0.1370,2.1897
33,3.402,2.8781,-0.1900,2.1817
34,3.502,2.8781,-0.1900,2.1817
35,3.602,2.8935,-0.1550,2.1844
36,3.702,2.8783,-0.1810,2.1786
37,3.802,2.8936,-0.1460,2.1890
38,3.902,2.9172,-0.1100,2.1839
39,4.002,2.9051,-0.1550,2.1767
40,4.102,2.9167,-0.1550,2.1767
41,4.202,2.9283,-0.1550,2.1805
42,4.302,2.9358,-0.1640,2.1722
43,4.436,2.9733,-0.0910,2.1774
44,4.536,2.9527,-0.1100,2.1721
45,4.636,2.9415,-0.1000,2.1688
46,4.736,2.9172,-0.1190,2.1675
47,4.836,2.9018,-0.0630,2.1713
48,4.936,2.8776,-0.0240,2.1658
49,5.036,2.8447,-0.0140,2.1705
50,5.136,2.8359,0.0270,2.1691
51,5.236,2.8474,0.0900,2.1732
52,5.336,2.8430,0.1010,2.1696
53,5.436,2.8599,0.1230,2.1710
54,5.536,2.8686,0.1230,2.1623
55,5.636,2.8904,0.1570,2.1644
56,5.736,2.9261,0.1920,2.1620
57,5.837,2.9532,0.2040,2.1538
58,5.937,3.0108,0.3010,2.1591
59,6.037,2.9984,0.2270,2.1551
60,6.170,3.0200,0.3010,2.1684
61,6.270,3.0174,0.3400,2.1706
62,6.370,2.9690,0.2890,2.1631
63,6.504,2.9418,0.3140,2.1598
64,6.604,2.9238,0.3530,2.1573
65,6.704,2.8908,0.3660,2.1580
66,6.804,2.8532,0.3530,2.1573
67,6.904,2.8377,0.4340,2.1519
68,7.004,2.8035,0.4480,2.1526
69,7.104,2.8155,0.5650,2.1584
70,7.204,2.8144,0.6110,2.1659
71,7.304,2.7958,0.5500,2.1627
72,7.404,2.7953,0.5650,2.1685
73,7.504,2.7777,0.4910,2.1547
74,7.604,2.8047,0.5960,2.1600
75,7.704,2.7999,0.5800,2.1592
76,7.804,2.8144,0.6110,2.1607
77,7.904,2.8343,0.6590,2.1631
78,8.004,2.8340,0.6750,2.1639
79,8.104,2.8649,0.7410,2.1672
80,8.205,2.8863,0.7580,2.1627
81,8.305,2.8705,0.6910,2.1594
82,8.405,2.9024,0.7580,2.1627
83,8.505,2.9182,0.7240,2.1557
84,8.605,2.9690,0.8290,2.1661
85,8.705,2.9505,0.7410,2.1619
86,8.805,2.9568,0.7760,2.1636
87,8.905,2.9454,0.7580,2.1681
88,9.038,2.9521,0.8110,2.1652
89,9.172,2.9532,0.8650,2.1567
90,9.272,2.9375,0.9390,2.1601
91,9.372,2.9273,1.0180,2.1636
92,9.505,2.9610,1.2520,2.1741
93,9.605,2.8693,1.0180,2.1636
94,9.705,2.8406,0.9780,2.1561
95,9.805,2.8174,0.9980,2.1627
96,9.905,2.8268,1.1200,2.1682
97,10.006,2.8040,1.0790,2.1664
98,10.106,2.7874,1.0380,2.1645
99,10.239,2.8140,1.1630,2.1822
100,10.339,2.7966,1.1420,2.1572
101,10.439,2.8130,1.2300,2.1608
102,10.539,2.8080,1.1630,2.1581
103,10.639,2.8258,1.1850,2.1529
104,10.739,2.8438,1.2070,2.1538
105,10.839,2.8622,1.2300,2.1547
106,10.973,2.8995,1.3220,2.1584
107,11.073,2.8930,1.2750,2.1503
108,11.173,2.8992,1.2980,2.1511
109,11.273,2.9118,1.2980,2.1449
110,11.373,2.9375,1.3450,2.1403
111,11.473,2.9373,1.3220,2.1458
112,11.573,2.9310,1.3220,2.1521
113,11.673,2.9311,1.3450,2.1529
114,11.773,2.9250,1.3690,2.1539
115,11.873,2.9121,1.3450,2.1466
116,12.007,2.8804,1.3450,2.1466
117,12.107,2.8868,1.5460,2.1540
118,12.207,2.8668,1.5730,2.1550
119,12.307,2.8596,1.6270,2.1501
120,12.407,2.8201,1.5460,2.1406
121,12.507,2.8315,1.7120,2.1462
122,12.607,2.7855,1.6000,2.1357
123,12.707,2.7652,1.6000,2.1424
124,12.807,2.7829,1.7120,2.1462
125,12.907,2.7820,1.7400,2.1471
126,13.007,2.7750,1.7400,2.1471
127,13.107,2.7567,1.6550,2.1443
128,13.207,2.7820,1.7400,2.1401
129,13.307,2.7829,1.7120,2.1323
130,13.407,2.8232,1.7990,2.1349
131,13.507,2.8444,1.7990,2.1349
132,13.608,2.9092,1.9540,2.1322
133,13.708,2.9309,1.9220,2.1240
134,13.808,2.9773,2.0520,2.1350
135,13.908,2.9849,2.0520,2.1350
136,14.008,2.9940,2.1200,2.1369
137,14.108,2.9957,2.1900,2.1467
138,14.208,2.9903,2.2990,2.1420
139,14.308,2.9930,2.4140,2.1453
140,14.441,2.8950,2.1550,2.1456
141,14.541,2.8640,2.2260,2.1555
142,14.641,2.8323,2.2620,2.1488
143,14.741,2.7930,2.2620,2.1488
144,14.842,2.7325,2.1900,2.1312
145,14.942,2.6987,2.2620,2.1253
146,15.042,2.6612,2.2260,2.1243
147,15.142,2.6300,2.2260,2.1165
148,15.242,2.6181,2.2990,2.1262
149,15.342,2.5966,2.2620,2.1331
150,15.442,2.5777,2.1900,2.1312
151,15.542,2.5864,2.2990,2.1341
152,15.642,2.5730,2.2620,2.1331
153,15.742,2.5623,2.1900,2.1312
154,15.842,2.5762,2.3370,2.1271
155,15.942,2.5785,2.2990,2.1183
156,16.042,2.5922,2.3370,2.1271
157,16.142,2.5899,2.3750,2.1201
158,16.242,2.5762,2.3370,2.1271
159,16.342,2.5795,2.4140,2.1210
160,16.442,2.5657,2.3750,2.1201
161,16.542,2.5602,2.3370,2.1192
162,16.643,2.5606,2.4530,2.1219
163,16.743,2.5443,2.4530,2.1219
164,16.843,2.5279,2.4530,2.1137
165,16.943,2.5034,2.4530,2.1219
166,17.043,2.4822,2.4140,2.1129
167,17.143,2.4659,2.4140,2.1129
168,17.243,2.4416,2.4140,2.1129
169,17.343,2.4092,2.4140,2.1129
170,17.443,2.3645,2.4530,2.1055
171,17.543,2.3073,2.4530,2.1137
172,17.643,2.2500,2.4530,2.1137
173,17.743,2.1957,2.3750,2.1201
174,17.843,2.1796,2.3750,2.1201
175,17.943,2.1612,2.3370,2.1271
176,18.044,2.1708,2.4930,2.1311
177,18.177,2.1474,2.3750,2.1281
178,18.277,2.1251,2.2620,2.1174
179,18.377,2.0973,2.3370,2.1112
180,18.477,2.0866,2.4530,2.1055
181,18.577,2.0589,2.3750,2.1040
182,18.677,2.0428,2.3750,2.1040
183,18.777,2.0375,2.4530,2.1055
184,18.877,2.0225,2.4930,2.0981
185,18.977,1.9813,2.4930,2.0981
186,19.077,1.9414,2.5750,2.0996
187,19.177,1.9075,2.5330,2.1072
188,19.277,1.8660,2.5330,2.1072
189,19.377,1.8744,2.5750,2.1080
190,19.477,1.8743,2.5330,2.1072
191,19.577,1.8575,2.6590,2.1097
192,19.678,1.8078,2.5330,2.0988
193,19.778,1.7580,2.5330,2.1072
194,19.878,1.7165,2.5330,2.1072
195,19.978,1.6929,2.4930,2.1146
196,20.078,1.6600,2.4930,2.1146
197,20.178,1.6270,2.4930,2.1146
198,20.278,1.6024,2.3370,2.1192
199,20.378,1.5635,2.4530,2.1301
200,20.478,1.5659,2.4140,2.1210
201,20.578,1.5496,2.4140,2.1291
202,20.678,1.5472,2.4530,2.1301
203,20.778,1.5199,2.4930,2.1228
204,20.878,1.4945,2.6170,2.1173
205,20.978,1.4692,2.6170,2.1173
206,21.078,1.4705,2.4930,2.1228
207,21.178,1.4473,2.5750,2.1248
208,21.278,1.4341,2.5330,2.1155
209,21.378,1.3939,2.7030,2.1192
210,21.478,1.3510,2.7910,2.1211
211,21.579,1.3300,2.5750,2.1164
212,21.679,1.2724,2.7910,2.1211
213,21.779,1.2321,2.8370,2.1133
