n,t_s,x_m,y_m,z_m
0,0.000,0.2268,1.8910,1.7663
1,0.131,0.2892,1.7400,1.7605
2,0.264,-0.0687,3.1800,2.1185
3,0.364,2.8460,3.2320,2.3655
4,0.464,2.5782,3.9490,2.0914
5,0.565,2.5356,3.9490,2.1127
6,0.665,2.4630,3.7540,2.1817
7,0.765,2.2608,3.8170,2.1209
8,0.898,2.2270,3.9490,2.1872
9,1.032,2.7952,3.5700,2.0663
10,1.165,2.8117,-0.1190,2.1736
11,1.265,2.8195,-0.1000,2.1750
12,1.365,2.8155,-0.1000,2.1868
13,1.465,2.8309,-0.0720,2.1730
14,1.565,2.8228,-0.0820,2.1762
15,1.665,2.8306,-0.0530,2.1743
16,1.765,2.8155,-0.1000,2.1789
17,1.865,2.8148,-0.0820,2.1842
18,1.965,2.8269,-0.0720,2.1770
19,2.065,2.8188,-0.0820,2.1723
20,2.199,2.8225,-0.0630,2.1776
21,2.299,2.8115,-0.1000,2.1750
22,2.399,2.8346,-0.0530,2.1702
23,2.499,2.8427,-0.0430,2.1790
24,2.599,2.8426,-0.0630,2.1736
25,2.699,2.8508,-0.0430,2.1750
26,2.799,2.8590,-0.0330,2.1757
27,2.899,2.8589,-0.0430,2.1709
28,2.999,2.8711,-0.0430,2.1709
29,3.099,2.8748,-0.0630,2.1696
30,3.199,2.9081,-0.0040,2.1695
31,3.299,2.9082,0.0060,2.1743
32,3.399,2.8998,-0.0040,2.1653
33,3.499,2.8963,0.0170,2.1625
34,3.600,2.9008,0.0580,2.1609
35,3.733,2.8713,0.0580,2.1525
36,3.866,2.8586,0.1230,2.1519
37,3.966,2.8543,0.1920,2.1469
38,4.066,2.8275,0.2040,2.1431
39,4.167,2.8008,0.2040,2.1520
40,4.267,2.7790,0.1800,2.1551
41,4.367,2.7778,0.2150,2.1616
42,4.500,2.7740,0.2040,2.1610
43,4.600,2.7993,0.2640,2.1645
44,4.700,2.7865,0.2270,2.1533
45,4.800,2.7951,0.2520,2.1547
46,4.900,2.8088,0.2520,2.1547
47,5.000,2.8306,0.3010,2.1527
48,5.100,2.8633,0.3800,2.1522
49,5.200,2.8727,0.3930,2.1576
50,5.300,2.8823,0.3800,2.1427
51,5.401,2.8966,0.3800,2.1427
52,5.501,2.9306,0.4200,2.1494
53,5.601,2.9450,0.4200,2.1542
54,5.701,2.9462,0.4620,2.1613
55,5.801,2.9065,0.4070,2.1584
56,5.901,2.9330,0.5200,2.1694
57,6.001,2.9073,0.4760,2.1571
58,6.101,2.9243,0.5800,2.1574
59,6.201,2.8729,0.4760,2.1473
60,6.301,2.8995,0.6270,2.1649
61,6.401,2.8952,0.7240,2.1593
62,6.501,2.8963,0.8110,2.1580
63,6.601,2.8317,0.6910,2.1577
64,6.701,2.8365,0.7760,2.1618
65,6.801,2.8307,0.8290,2.1698
66,6.901,2.8198,0.8110,2.1689
67,7.001,2.8197,0.8290,2.1698
68,7.101,2.8465,0.9200,2.1687
69,7.201,2.8358,0.8650,2.1605
70,7.302,2.8467,0.8830,2.1614
71,7.402,2.8865,0.9590,2.1592
72,7.502,2.8983,0.9980,2.1552
73,7.635,2.9419,1.1420,2.1614
74,7.768,2.9346,1.0790,2.1587
75,7.869,2.9458,1.0580,2.1578
76,7.969,2.9845,1.1630,2.1684
77,8.069,2.9710,1.1200,2.1665
78,8.169,2.9784,1.1630,2.1744
79,8.269,2.9282,1.0580,2.1695
80,8.369,2.9562,1.2300,2.1591
81,8.469,2.9371,1.2070,2.1642
82,8.569,2.9065,1.2070,2.1642
83,8.669,2.8577,1.1420,2.1554
84,8.769,2.8575,1.2750,2.1547
85,8.869,2.8201,1.2750,2.1547
86,8.969,2.8254,1.3940,2.1595
87,9.069,2.8307,1.5200,2.1645
88,9.169,2.7987,1.4430,2.1615
89,9.269,2.8171,1.5460,2.1656
90,9.369,2.8171,1.5460,2.1656
91,9.469,2.8303,1.5730,2.1599
92,9.569,2.8050,1.4690,2.1559
93,9.670,2.8174,1.5200,2.1446
94,9.770,2.8438,1.5730,2.1465
95,9.870,2.8639,1.5730,2.1465
96,9.970,2.8638,1.4940,2.1371
97,10.070,2.8638,1.4940,2.1305
98,10.170,2.8838,1.5200,2.1314
99,10.270,2.8902,1.4690,2.1232
100,10.370,2.9312,1.5730,2.1330
101,10.470,2.9452,1.6000,2.1339
102,10.570,2.9388,1.6270,2.1416
103,10.670,2.8836,1.4940,2.1437
104,10.770,2.9192,1.6830,2.1503
105,10.870,2.9199,1.7400,2.1453
106,10.970,2.9598,1.9540,2.1525
107,11.070,2.9289,1.8600,2.1422
108,11.170,2.8997,1.8290,2.1483
109,11.270,2.9157,1.9540,2.1451
110,11.371,2.8786,1.8600,2.1422
111,11.471,2.8933,1.9220,2.1441
112,11.571,2.9173,2.0860,2.1493
113,11.671,2.8941,2.0190,2.1472
114,11.771,2.9262,2.1900,2.1449
115,11.871,2.9424,2.2260,2.1382
116,11.971,2.9351,2.2620,2.1392
117,12.071,2.8867,2.0520,2.1332
118,12.171,2.8495,1.9540,2.1378
119,12.271,2.8494,1.9860,2.1314
120,12.371,2.8567,2.0860,2.1342
121,12.471,2.8336,2.1550,2.1362
122,12.571,2.8256,2.1900,2.1526
123,12.671,2.8106,2.1550,2.1515
124,12.771,2.8176,2.2260,2.1538
125,12.871,2.8024,2.1900,2.1449
126,12.971,2.7869,2.1900,2.1449
127,13.071,2.7942,2.2260,2.1460
128,13.171,2.7714,2.1900,2.1372
129,13.272,2.8002,2.3750,2.1424
130,13.372,2.7927,2.3370,2.1334
131,13.472,2.7992,2.4530,2.1365
132,13.572,2.7992,2.4530,2.1365
133,13.672,2.7910,2.4530,2.1365
134,13.772,2.7905,2.4930,2.1293
135,13.872,2.7822,2.4930,2.1293
136,13.972,2.7747,2.4530,2.1283
137,14.072,2.7740,2.4930,2.1211
138,14.172,2.7732,2.5330,2.1220
139,14.272,2.7420,2.4530,2.1201
140,14.372,2.7186,2.4140,2.1111
141,14.472,2.7105,2.4140,2.1111
142,14.572,2.6889,2.3370,2.1094
143,14.672,2.7024,2.4140,2.1030
144,14.772,2.7163,2.4930,2.1046
145,14.872,2.6943,2.4140,2.1111
146,14.973,2.7011,2.4530,2.1038
147,15.073,2.7081,2.4930,2.1046
148,15.173,2.6862,2.4140,2.1030
149,15.273,2.6848,2.4530,2.1038
150,15.373,2.6916,2.4930,2.1046
151,15.473,2.6684,2.4530,2.0956
152,15.573,2.6457,2.4140,2.1030
153,15.673,2.6376,2.4140,2.1030
154,15.773,2.6294,2.4140,2.1030
155,15.873,2.6011,2.3370,2.1014
156,15.973,2.5749,2.3750,2.1102
157,16.073,2.5427,2.3750,2.1022
158,16.173,2.5078,2.4140,2.1030
159,16.273,2.4592,2.4140,2.1030
160,16.373,2.4114,2.4930,2.1046
161,16.473,2.3700,2.4140,2.1030
162,16.573,2.3375,2.4140,2.1030
163,16.673,2.3291,2.4930,2.1128
164,16.773,2.3175,2.3750,2.1102
165,16.874,2.3330,2.5330,2.1220
166,16.974,2.3213,2.4140,2.1111
167,17.074,2.3132,2.4140,2.1111
168,17.174,2.3088,2.4530,2.1120
169,17.274,2.3006,2.4530,2.1038
170,17.374,2.2961,2.4930,2.1046
171,17.474,2.2831,2.5330,2.0971
172,17.574,2.2748,2.5330,2.0971
173,17.674,2.2534,2.5750,2.0979
174,17.774,2.2261,2.6590,2.0994
175,17.874,2.1808,2.6170,2.0902
176,17.974,2.1325,2.6590,2.0994
177,18.074,2.1115,2.7470,2.0924
178,18.174,2.0838,2.5330,2.0971
179,18.274,2.0729,2.6590,2.0994
180,18.374,2.0440,2.5750,2.0979
181,18.474,2.0189,2.5750,2.0895
182,18.574,1.9950,2.6170,2.0987
183,18.675,1.9770,2.5750,2.0979
184,18.775,1.9686,2.5750,2.1062
185,18.875,1.9418,2.4930,2.1046
186,18.975,1.9260,2.5330,2.1054
187,19.075,1.9089,2.4930,2.1046
188,19.175,1.8756,2.4530,2.1120
189,19.275,1.8429,2.4530,2.1120
190,19.375,1.8184,2.4530,2.1120
191,19.476,1.8026,2.3750,2.1102
192,19.608,1.7785,2.3750,2.1102
193,19.708,1.7630,2.3370,2.1094
194,19.808,1.7550,2.3370,2.1094
195,19.909,1.7383,2.3750,2.1102
196,20.009,1.7213,2.4140,2.1192
