n,t_s,x_m,y_m,z_m
0,0.000,2.6230,3.5700,2.1571
1,0.125,0.7711,0.0270,2.1764
2,0.249,0.1063,1.5730,2.2816
3,0.349,0.7398,0.0900,2.1764
4,0.449,0.7350,0.1010,2.1814
5,0.550,0.7441,0.0800,2.1757
6,0.683,0.7579,0.0480,2.1778
7,0.816,0.7255,0.1230,2.1786
8,0.916,0.7350,0.1010,2.1771
9,1.016,0.7441,0.0800,2.1757
10,1.117,0.7488,0.0690,2.1750
11,1.217,0.7670,0.0270,2.1722
12,1.350,0.7303,0.1120,2.1735
13,1.450,0.7488,0.0690,2.1750
14,1.554,0.7441,0.0800,2.1757
15,1.683,0.7342,0.1230,2.1742
16,1.784,0.7658,0.0690,2.1750
17,1.884,0.7518,0.1120,2.1778
18,1.984,0.7696,0.0800,2.1714
19,2.117,0.8129,0.0370,2.1687
20,2.217,0.7904,0.1230,2.1699
21,2.317,0.8123,0.1010,2.1728
22,2.417,0.8377,0.0800,2.1757
23,2.517,0.8294,0.1120,2.1735
24,2.617,0.8078,0.1120,2.1692
25,2.717,0.7680,0.1460,2.1670
26,2.817,0.7091,0.1920,2.1698
27,2.951,0.6748,0.1690,2.1640
28,3.051,0.6567,0.1800,2.1691
29,3.151,0.6424,0.1920,2.1698
30,3.284,0.6311,0.2270,2.1720
31,3.384,0.6500,0.2150,2.1667
32,3.484,0.6724,0.2150,2.1623
33,3.585,0.6861,0.2890,2.1666
34,3.718,0.7162,0.3400,2.1695
35,3.818,0.7696,0.2640,2.1651
36,3.918,0.7827,0.2890,2.1666
37,4.018,0.8106,0.2760,2.1658
38,4.118,0.7956,0.3660,2.1663
39,4.218,0.7949,0.4200,2.1694
40,4.318,0.8287,0.3660,2.1663
41,4.418,0.7730,0.5350,2.1759
42,4.518,0.7375,0.5500,2.1717
43,4.619,0.7506,0.4480,2.1564
44,4.719,0.6807,0.5800,2.1683
45,4.819,0.6553,0.5800,2.1632
46,4.919,0.6215,0.6270,2.1656
47,5.019,0.6077,0.6750,2.1628
48,5.119,0.5938,0.7240,2.1653
49,5.219,0.6014,0.6910,2.1584
50,5.319,0.5938,0.7240,2.1546
51,5.419,0.5626,0.7760,2.1625
52,5.519,0.5841,0.7080,2.1592
53,5.619,0.5613,0.7930,2.1633
54,5.719,0.5966,0.7580,2.1562
55,5.819,0.6352,0.7410,2.1554
56,5.919,0.6307,0.8110,2.1532
57,6.019,0.6551,0.8650,2.1557
58,6.119,0.6950,0.8460,2.1548
59,6.219,0.7686,0.7580,2.1508
60,6.319,0.7896,0.7760,2.1516
61,6.420,0.7888,0.8290,2.1540
62,6.520,0.8163,0.8290,2.1485
63,6.623,0.8328,0.8650,2.1445
64,6.753,0.8327,0.9020,2.1349
65,6.886,0.8156,0.9780,2.1263
66,6.986,0.8156,0.9780,2.1091
67,7.120,0.7615,1.0990,2.1127
68,7.220,0.7558,1.0790,2.1062
69,7.320,0.7110,1.1850,2.1092
70,7.420,0.7123,1.1420,2.0960
71,7.520,0.7178,1.1630,2.0905
72,7.620,0.7420,1.1630,2.0784
73,7.720,0.7335,1.2520,2.0802
74,7.854,0.8209,1.0580,2.0821
75,7.954,0.8208,1.1200,2.0954
76,8.054,0.8443,1.0380,2.1050
77,8.154,0.8498,0.9590,2.1142
78,8.287,0.8156,0.9780,2.1206
79,8.387,0.7629,1.0180,2.1219
80,8.487,0.7223,1.0180,2.1277
81,8.587,0.6826,0.9980,2.1328
82,8.687,0.6331,1.0580,2.1350
83,8.787,0.5272,1.2750,2.1429
84,8.888,0.5267,1.2070,2.1404
85,9.021,0.5432,1.0790,2.1416
86,9.121,0.4815,1.2300,2.1474
87,9.221,0.4734,1.2520,2.1545
88,9.321,0.5042,1.1850,2.1457
89,9.421,0.4920,1.2520,2.1545
90,9.521,0.5210,1.2750,2.1554
91,9.621,0.5772,1.1850,2.1518
92,9.721,0.6222,1.1420,2.1441
