n,t_s,x_m,y_m,z_m
93,9.855,0.6429,1.2070,2.1404
94,9.955,0.6477,1.2300,2.1474
95,10.055,0.6674,1.2070,2.1404
96,10.155,0.6797,1.2070,2.1466
97,10.288,0.6806,1.1850,2.1457
98,10.388,0.6468,1.2520,2.1421
99,10.488,0.6354,1.2300,2.1413
100,10.588,0.6062,1.2070,2.1343
101,10.688,0.5646,1.2750,2.1367
102,10.788,0.5379,1.2980,2.1375
103,10.889,0.5254,1.2980,2.1312
104,10.989,0.4768,1.4180,2.1417
105,11.122,0.4588,1.4690,2.1370
106,11.222,0.4183,1.5460,2.1395
107,11.322,0.4276,1.5200,2.1387
108,11.422,0.4409,1.5200,2.1387
109,11.522,0.4764,1.4940,2.1378
110,11.622,0.4918,1.5460,2.1395
111,11.728,0.5252,1.5460,2.1329
112,11.856,0.5750,1.6000,2.1346
113,11.956,0.6359,1.6000,2.1278
114,12.056,0.6988,1.5460,2.1262
115,12.156,0.7239,1.6000,2.1278
116,12.289,0.7505,1.6270,2.1286
117,12.389,0.7411,1.7400,2.1390
118,12.489,0.7694,1.7120,2.1381
119,12.589,0.7691,1.7400,2.1320
120,12.690,0.7621,1.7400,2.1250
121,12.790,0.6848,1.9540,2.1311
122,12.890,0.6820,1.8290,2.1347
123,12.990,0.6348,1.9220,2.1375
124,13.090,0.6186,1.9540,2.1385
125,13.190,0.5949,1.9860,2.1394
126,13.290,0.5668,2.0860,2.1349
127,13.390,0.5613,2.0520,2.1339
128,13.490,0.5463,2.0520,2.1264
129,13.590,0.5162,2.0520,2.1339
130,13.724,0.4446,2.1900,2.1301
131,13.824,0.4787,2.0520,2.1339
132,13.924,0.4505,2.1200,2.1358
133,14.024,0.4581,2.1200,2.1282
134,14.124,0.4416,2.2260,2.1233
135,14.224,0.4859,2.1550,2.1215
136,14.324,0.4779,2.2620,2.1242
137,14.424,0.5172,2.2620,2.1242
138,14.524,0.5644,2.2620,2.1242
139,14.624,0.5860,2.2990,2.1251
140,14.724,0.6141,2.3750,2.1190
141,14.824,0.6637,2.3370,2.1181
142,14.924,0.7048,2.2990,2.1172
143,15.024,0.7096,2.4140,2.1199
144,15.124,0.7177,2.4140,2.1199
145,15.224,0.7258,2.4140,2.1199
146,15.324,0.7177,2.4140,2.1199
147,15.424,0.7187,2.3750,2.1109
148,15.524,0.6678,2.4530,2.1126
149,15.625,0.6351,2.4530,2.1208
150,15.725,0.5862,2.6170,2.1162
151,15.825,0.5227,2.8370,2.1210
152,15.928,0.4626,3.0770,2.1263
153,16.058,0.5429,2.7910,2.1113
154,16.158,0.5625,2.7470,2.1104
155,16.292,0.5991,2.7030,2.1181
156,16.392,0.6231,2.7470,2.1104
157,16.492,0.6477,2.7910,2.1113
158,16.592,0.7290,2.6590,2.1086
159,16.692,0.7530,2.7470,2.1017
160,16.792,0.7428,2.8370,2.1034
161,16.892,0.7252,2.8370,2.1034
162,16.992,0.6770,2.9790,2.1060
163,17.092,0.6724,2.8370,2.0946
164,17.225,0.6157,2.9310,2.0962
165,17.325,0.5504,2.9790,2.0970
166,17.426,0.4810,3.0770,2.0987
167,17.526,0.5139,2.8370,2.0946
168,17.626,0.4181,3.1800,2.1004
169,17.726,0.4220,3.1280,2.0995
170,17.826,0.4544,2.9310,2.0962
171,17.926,0.4034,3.1280,2.0995
172,18.026,0.4419,2.9790,2.0880
173,18.126,0.3994,3.1800,2.1004
174,18.226,0.3913,3.2860,2.0926
175,18.326,0.3784,3.4530,2.0952
176,18.426,0.4806,3.2320,2.0824
177,18.526,0.5249,3.2860,2.0735
178,18.659,0.6225,3.2320,2.0729
179,18.760,0.6240,3.4530,2.0854
180,18.893,0.6616,3.5110,2.0663
181,18.993,0.6682,3.6300,2.0675
182,19.126,0.6799,3.5700,2.0569
183,19.227,0.6899,3.5700,2.0569
184,19.327,0.6666,3.6910,2.0579
185,19.427,0.6799,3.5700,2.0569
186,19.527,0.6480,3.6300,2.0574
187,19.627,0.6155,3.6910,2.0682
188,19.727,0.6097,3.5700,2.0769
189,19.827,0.5921,3.5110,2.0762
190,19.927,0.5697,3.5700,2.0870
191,20.027,0.5496,3.5700,2.0870
192,20.127,0.4929,3.6910,2.0886
193,20.227,0.4171,3.7540,2.0998
194,20.327,0.4295,3.5700,2.0870
195,20.427,0.3703,3.6910,2.0988
196,20.527,0.3794,3.5700,2.0970
197,20.627,0.3794,3.5700,2.0970
198,20.727,0.4037,3.5110,2.0862
199,20.827,0.3850,3.6300,2.0878
200,20.927,0.4136,3.5110,2.0862
201,21.028,0.4052,3.6300,2.0878
202,21.128,0.4695,3.5700,2.0870
203,21.228,0.4963,3.6300,2.0878
204,21.328,0.4964,3.8170,2.0903
205,21.428,0.5746,3.6910,2.0784
206,21.528,0.6155,3.6910,2.0784
207,21.628,0.6215,3.8170,2.0903
208,21.728,0.6682,3.6300,2.0878
209,21.828,0.6666,3.6910,2.0886
210,21.928,0.6666,3.6910,2.0988
211,22.028,0.6442,3.7540,2.0998
212,22.128,0.6442,3.7540,2.0998
213,22.228,0.6462,3.6910,2.0988
214,22.328,0.6215,3.8170,2.1007
215,22.428,0.6007,3.8170,2.1007
216,22.528,0.5951,3.6910,2.0886
217,22.628,0.5277,3.8170,2.0903
218,22.728,0.4860,3.8170,2.0903
219,22.829,0.4547,3.8170,2.0903
220,22.929,0.3888,4.0170,2.0823
221,23.029,0.3462,4.1570,2.0840
222,23.129,0.3828,3.9490,2.0815
223,23.229,0.4087,3.8820,2.0807
224,23.329,0.4192,3.8820,2.0807
225,23.429,0.4103,4.0170,2.0823
226,23.529,0.4467,3.9490,2.0815
227,23.629,0.4748,4.0170,2.0930
228,23.729,0.5036,4.0860,2.0722
229,23.829,0.5744,3.9490,2.0815
230,23.929,0.5906,4.0860,2.0940
231,24.029,0.5853,4.2290,2.0959
232,24.129,0.6558,4.0860,2.0831
233,24.229,0.6408,4.2290,2.0848
234,24.329,0.6648,4.1570,2.0840
235,24.429,0.6648,4.1570,2.0840
236,24.529,0.6775,4.0860,2.0831
237,24.630,0.6648,4.1570,2.0840
238,24.730,0.6648,4.1570,2.0840
239,24.830,0.6648,4.1570,2.0730
240,24.930,0.6519,4.2290,2.0737
241,25.030,0.6648,4.1570,2.0730
242,25.130,0.6648,4.1570,2.0730
243,25.230,0.6519,4.2290,2.0737
244,25.330,0.6868,4.1570,2.0730
245,25.430,0.6852,4.2290,2.0737
246,25.530,0.7101,4.0860,2.0722
247,25.630,0.7101,4.0860,2.0614
248,25.730,0.6868,4.1570,2.0730
249,25.830,0.6758,4.1570,2.0620
250,25.930,0.6519,4.2290,2.0626
251,26.030,0.6648,4.1570,2.0620
252,26.130,0.6538,4.1570,2.0620
253,26.230,0.6408,4.2290,2.0626
254,26.330,0.6386,4.3030,2.0632
255,26.431,0.6993,4.0860,2.0505
256,26.531,0.6978,4.1570,2.0620
257,26.631,0.7087,4.1570,2.0510
258,26.731,0.7427,4.0860,2.0505
259,26.831,0.7544,4.0170,2.0393
260,26.931,0.7185,4.2290,2.0293
261,27.031,0.6963,4.2290,2.0404
262,27.131,0.6852,4.2290,2.0515
263,27.231,0.6741,4.2290,2.0515
264,27.331,0.6993,4.0860,2.0614
265,27.431,0.6499,4.3030,2.0632
266,27.531,0.6630,4.2290,2.0626
267,27.631,0.6758,4.1570,2.0510
268,27.731,0.6538,4.1570,2.0510
269,27.865,0.5964,4.2290,2.0626
270,27.965,0.5853,4.2290,2.0626
271,28.065,0.5631,4.2290,2.0626
272,28.165,0.5115,4.3790,2.0639
273,28.298,0.4965,4.2290,2.0515
274,28.398,0.4434,4.3790,2.0639
275,28.498,0.4321,4.3790,2.0753
276,28.598,0.4366,4.3030,2.0632
277,28.698,0.4478,4.3030,2.0632
278,28.798,0.4590,4.3030,2.0632
279,28.899,0.4505,4.4560,2.0646
280,28.999,0.4505,4.4560,2.0531
281,29.132,0.4735,4.4560,2.0531
282,29.232,0.4964,4.4560,2.0646
283,29.332,0.5342,4.3790,2.0526
284,29.432,0.5538,4.4560,2.0531
285,29.566,0.5883,4.4560,2.0531
286,29.699,0.6611,4.3030,2.0632
287,29.799,0.6723,4.3030,2.0745
288,29.899,0.7060,4.3030,2.0632
289,29.999,0.7031,4.4560,2.0761
290,30.133,0.7509,4.3030,2.0632
291,30.233,0.7260,4.4560,2.0646
292,30.333,0.7132,4.5350,2.0653
293,30.433,0.7260,4.4560,2.0646
294,30.533,0.7375,4.4560,2.0646
295,30.633,0.7145,4.4560,2.0646
296,30.733,0.7272,4.3790,2.0639
297,30.833,0.7045,4.3790,2.0639
298,30.933,0.6801,4.4560,2.0646
299,31.033,0.6413,4.6160,2.0660
300,31.133,0.6295,4.6160,2.0542
301,31.233,0.6571,4.4560,2.0531
302,31.333,0.6203,4.5350,2.0536
303,31.433,0.6112,4.4560,2.0531
