n,t_s,x_m,y_m,z_m
0,0.000,0.2351,1.7700,1.4771
1,0.112,0.2656,1.8600,1.7538
2,0.238,2.2598,-0.2650,2.7462
3,0.338,2.9674,3.6910,2.2721
4,0.438,2.9674,3.6910,2.3334
5,0.538,2.5351,3.5700,2.0665
6,0.638,2.4926,3.4530,2.1144
7,0.738,2.4896,3.8170,2.1942
8,0.838,2.1795,4.0860,2.0501
9,0.938,2.7185,3.4530,2.0948
10,1.038,2.8749,-0.0240,2.1520
11,1.138,2.8831,-0.0240,2.1520
12,1.239,2.8753,-0.0330,2.1556
13,1.339,2.8671,-0.0430,2.1509
14,1.439,2.8872,0.0060,2.1621
15,1.539,2.8875,0.0170,2.1586
16,1.639,2.8872,0.0060,2.1580
17,1.739,2.8913,0.0060,2.1580
18,1.839,2.9000,0.0270,2.1509
19,1.939,2.8872,-0.0040,2.1532
20,2.039,2.8872,-0.0040,2.1532
21,2.139,2.8913,0.0060,2.1538
22,2.239,2.8913,-0.0040,2.1491
23,2.339,2.8955,0.0060,2.1456
24,2.441,2.8872,-0.0140,2.1485
25,2.573,2.9083,0.0370,2.1473
26,2.673,2.8834,-0.0330,2.1474
27,2.773,2.8834,-0.0330,2.1474
28,2.873,2.8995,-0.0140,2.1485
29,2.973,2.8956,-0.0330,2.1474
30,3.073,2.9119,-0.0040,2.1450
31,3.206,2.9076,-0.0240,2.1479
32,3.306,2.9285,0.0060,2.1456
33,3.406,2.9327,0.0060,2.1497
34,3.506,2.9459,0.0370,2.1389
35,3.606,2.9380,0.0480,2.1353
36,3.707,2.9124,0.0370,2.1431
37,3.807,2.8876,0.0480,2.1479
38,3.907,2.8621,0.0690,2.1449
39,4.007,2.8361,0.0900,2.1418
40,4.107,2.7951,0.0480,2.1395
41,4.207,2.7888,0.1010,2.1380
42,4.307,2.7600,0.0800,2.1412
43,4.407,2.7533,0.1230,2.1392
44,4.507,2.7430,0.1570,2.1409
45,4.640,2.7223,0.1340,2.1441
46,4.740,2.7324,0.1920,2.1427
47,4.841,2.7206,0.1690,2.1371
48,4.941,2.7477,0.2390,2.1316
49,5.041,2.7567,0.2390,2.1316
50,5.141,2.7623,0.2150,2.1350
51,5.241,2.8059,0.2640,2.1328
52,5.341,2.8287,0.2640,2.1328
53,5.441,2.8651,0.2890,2.1385
54,5.541,2.8789,0.2640,2.1328
55,5.641,2.9350,0.3400,2.1316
56,5.741,2.9591,0.3660,2.1375
57,5.841,2.9790,0.3930,2.1388
58,5.941,2.9892,0.4070,2.1394
59,6.042,2.9942,0.4200,2.1352
60,6.175,2.9739,0.3800,2.1287
61,6.275,2.9963,0.4760,2.1328
62,6.375,2.9777,0.5050,2.1291
63,6.475,2.9649,0.5800,2.1373
64,6.575,2.9141,0.5800,2.1322
65,6.675,2.8890,0.6430,2.1349
66,6.775,2.8892,0.7930,2.1357
67,6.875,2.8352,0.7580,2.1235
68,6.975,2.7976,0.7580,2.1235
69,7.075,2.7805,0.7930,2.1194
70,7.175,2.7582,0.8110,2.1255
71,7.275,2.7418,0.8110,2.1255
72,7.375,2.7271,0.7760,2.1242
73,7.475,2.7309,0.8110,2.1200
74,7.578,2.7346,0.8460,2.1212
75,7.709,2.7090,0.8110,2.1091
76,7.809,2.7118,0.8650,2.1108
77,7.909,2.6972,0.8290,2.1097
78,8.009,2.7125,0.8460,2.1102
79,8.109,2.7475,0.9390,2.1018
80,8.209,2.7900,1.0580,2.0993
81,8.309,2.8244,1.0990,2.1004
82,8.409,2.8720,1.1420,2.1016
83,8.509,2.9141,1.1420,2.1016
84,8.609,3.0031,1.2980,2.0995
85,8.709,2.9670,1.0990,2.0945
86,8.809,3.0042,1.1420,2.0956
87,8.909,3.0013,1.0580,2.0993
88,9.010,3.0343,1.1420,2.1016
89,9.110,3.0072,1.0580,2.0993
90,9.210,3.0022,1.0790,2.0999
91,9.310,3.0264,1.2520,2.1107
92,9.410,2.9880,1.2070,2.1033
93,9.510,3.0207,1.4430,2.1096
94,9.610,2.9538,1.3450,2.1070
95,9.710,2.9028,1.2750,2.1051
96,9.810,2.9035,1.4180,2.1025
97,9.910,2.8646,1.4430,2.0901
98,10.010,2.8320,1.4430,2.0901
99,10.143,2.8295,1.6550,2.0948
100,10.243,2.7714,1.5200,2.0852
101,10.344,2.7458,1.4940,2.0846
102,10.444,2.7140,1.4690,2.0841
103,10.544,2.7117,1.5200,2.0852
104,10.644,2.7051,1.5200,2.0852
105,10.744,2.7151,1.6000,2.0868
106,10.844,2.7162,1.5730,2.0862
107,10.944,2.7297,1.5730,2.0930
108,11.044,2.7498,1.5730,2.0930
109,11.177,2.7889,1.6270,2.0873
110,11.277,2.8563,1.7700,2.0902
111,11.377,2.8705,1.6830,2.0885
112,11.478,2.8910,1.6270,2.0873
113,11.578,2.9470,1.7120,2.0821
114,11.678,2.9803,1.6550,2.0742
115,11.778,3.0155,1.6830,2.0816
116,11.878,3.0120,1.5730,2.0795
117,11.978,3.0489,1.6550,2.0810
118,12.078,3.0477,1.6270,2.0805
119,12.211,3.0557,1.6550,2.0742
120,12.311,3.0409,1.6270,2.0737
121,12.411,3.0431,1.6830,2.0747
122,12.511,3.0475,1.7990,2.0837
123,12.611,3.0222,1.8910,2.0854
124,12.712,3.0511,2.0860,2.0739
125,12.812,3.0472,2.1900,2.0677
