n,t_s,x_m,y_m,z_m
0,0.000,0.0405,2.1900,1.4144
1,0.133,0.0348,2.2260,1.4100
2,0.267,0.0418,2.7910,2.1087
3,0.367,3.0500,4.2290,2.1957
4,0.467,2.6154,3.3410,2.1689
5,0.567,2.5388,3.7540,2.0988
6,0.667,2.5538,3.8820,2.1852
7,0.767,2.5423,4.1570,2.1935
8,0.867,2.3623,3.6300,2.1776
9,0.967,2.3952,3.4530,2.1920
10,1.067,2.6350,0.9020,2.1572
11,1.167,2.6643,0.9980,2.1619
12,1.267,2.7020,1.0790,2.1658
13,1.367,2.6917,1.0380,2.1288
14,1.467,2.7393,1.2520,2.1741
15,1.567,2.7601,1.1200,2.1319
16,1.667,2.7505,1.0180,2.1454
17,1.767,2.7906,1.0790,2.1362
18,1.867,2.8083,1.0580,2.1295
19,1.968,2.8378,1.0790,2.1244
20,2.068,2.8496,1.0790,2.1303
21,2.168,2.8611,1.0580,2.1354
22,2.268,2.8792,1.0990,2.1311
23,2.368,2.8736,1.1200,2.1319
24,2.468,2.8676,1.1200,2.1319
25,2.568,2.8877,1.2300,2.1300
26,2.668,2.8631,1.2300,2.1300
27,2.768,2.8259,1.1630,2.1336
28,2.901,2.8136,1.2520,2.1308
29,3.002,2.8070,1.3450,2.1342
30,3.102,2.7816,1.3450,2.1342
31,3.202,2.7743,1.4180,2.1369
32,3.302,2.7362,1.3940,2.1296
33,3.402,2.7047,1.3690,2.1287
34,3.502,2.6903,1.4180,2.1369
35,3.602,2.6829,1.4430,2.1313
36,3.702,2.6644,1.4180,2.1369
37,3.802,2.6644,1.4180,2.1433
38,3.902,2.6655,1.3940,2.1296
39,4.002,2.7059,1.5460,2.1282
40,4.102,2.7200,1.5200,2.1274
41,4.202,2.7590,1.5730,2.1224
42,4.302,2.7989,1.6270,2.1241
43,4.402,2.8476,1.7700,2.1216
44,4.502,2.8542,1.7400,2.1137
45,4.636,2.8546,1.7700,2.1146
46,4.736,2.8618,1.7990,2.1225
47,4.836,2.8700,1.8910,2.1180
48,4.936,2.8866,2.0520,2.1226
49,5.037,2.8050,1.7990,2.1225
50,5.169,2.7554,1.7990,2.1296
51,5.270,2.6515,1.5730,2.1224
52,5.370,2.6659,1.9220,2.1335
53,5.470,2.6294,1.9220,2.1262
54,5.570,2.6103,2.0190,2.1291
55,5.670,2.5822,1.9860,2.1281
56,5.770,2.5545,1.9540,2.1272
57,5.870,2.5789,2.1900,2.1265
58,5.970,2.5390,2.0860,2.1236
59,6.070,2.5260,2.0520,2.1151
60,6.203,2.5163,2.0860,2.1084
61,6.303,2.5292,2.1200,2.1017
62,6.404,2.5732,2.2990,2.1059
