n,t_s,x_m,y_m,z_m
63,6.504,2.5480,2.1900,2.1033
64,6.604,2.5303,2.2260,2.1042
65,6.704,2.5201,2.2620,2.1050
66,6.804,2.5069,2.2260,2.1042
67,6.904,2.4757,2.2260,2.1042
68,7.004,2.4573,2.2620,2.1050
69,7.104,2.4337,2.2620,2.1050
70,7.204,2.4211,2.2260,2.1120
71,7.304,2.4242,2.1900,2.1110
72,7.404,2.4465,2.2990,2.1059
73,7.504,2.4416,2.2620,2.1050
74,7.604,2.4416,2.2620,2.1050
75,7.704,2.4573,2.2620,2.0971
76,7.804,2.4494,2.2620,2.0971
77,7.904,2.4494,2.2620,2.1050
78,8.004,2.4445,2.2260,2.1042
79,8.105,2.4367,2.2260,2.1042
80,8.205,2.4180,2.2620,2.1129
81,8.305,2.4133,2.2260,2.1120
82,8.405,2.4069,2.2990,2.1217
83,8.505,2.3787,2.2620,2.1050
84,8.605,2.3638,2.3370,2.0988
85,8.705,2.3559,2.3370,2.0988
86,8.805,2.3485,2.4140,2.0924
87,8.938,2.3201,2.4530,2.0931
88,9.038,2.3119,2.5330,2.0948
89,9.139,2.2994,2.5750,2.0956
90,9.239,2.2866,2.6170,2.0965
91,9.339,2.2697,2.6170,2.1049
92,9.439,2.2384,2.4530,2.0931
93,9.539,2.2432,2.7030,2.0982
94,9.639,2.2191,2.6170,2.0965
95,9.739,2.1937,2.6170,2.1049
96,9.839,2.1624,2.5330,2.1031
97,9.939,2.1292,2.5330,2.1031
98,10.039,2.0890,2.4140,2.1005
99,10.139,2.0749,2.4530,2.1013
100,10.239,2.0504,2.4530,2.1095
101,10.339,2.0322,2.4140,2.1086
102,10.439,2.0063,2.3750,2.1077
103,10.539,1.9932,2.4530,2.1013
104,10.639,1.9947,2.4930,2.1022
105,10.740,1.9865,2.4930,2.1104
106,10.840,1.9700,2.4930,2.1022
107,10.940,1.9687,2.4530,2.1013
108,11.040,1.9700,2.4930,2.1022
109,11.140,1.9592,2.4140,2.1005
110,11.240,1.9618,2.4930,2.1022
111,11.340,1.9618,2.4930,2.1022
112,11.440,1.9523,2.4530,2.1013
113,11.540,1.9441,2.4530,2.0931
114,11.640,1.9618,2.4930,2.0940
115,11.740,1.9592,2.4140,2.0924
116,11.840,1.9592,2.4140,2.0842
117,11.940,1.9917,2.4140,2.0924
118,12.040,2.0259,2.4530,2.0931
119,12.140,2.0728,2.4140,2.1005
120,12.240,2.1288,2.6590,2.1058
121,12.340,2.1566,2.4530,2.1013
122,12.441,2.2057,2.4530,2.1013
123,12.541,2.2491,2.5750,2.1040
124,12.641,2.2584,2.4930,2.1022
125,12.741,2.2593,2.4140,2.1005
126,12.841,2.2711,2.4530,2.1013
127,12.941,2.2584,2.4930,2.1022
128,13.041,2.2220,2.4530,2.1013
129,13.141,2.1893,2.4530,2.1013
130,13.241,2.1430,2.4930,2.1022
131,13.341,2.0913,2.4530,2.1013
132,13.441,2.0446,2.3370,2.0908
133,13.541,2.0063,2.3750,2.0916
134,13.641,1.9741,2.3750,2.0916
135,13.741,1.9476,2.2990,2.0979
136,13.841,1.9248,2.3370,2.0988
137,13.941,1.8770,2.3370,2.0908
138,14.041,1.8371,2.3370,2.0908
139,14.142,1.7891,2.3750,2.0835
140,14.242,1.7488,2.3750,2.0835
141,14.342,1.6989,2.4530,2.0850
142,14.442,1.6581,2.4530,2.0850
143,14.542,1.6187,2.4140,2.0842
144,14.642,1.5845,2.4530,2.0931
145,14.742,1.5682,2.4530,2.0931
146,14.875,1.5205,2.5750,2.0956
147,14.975,1.4877,2.7030,2.0896
148,15.075,1.4591,2.6170,2.0880
149,15.175,1.4222,2.6590,2.0888
150,15.275,1.3702,2.8830,2.1018
151,15.376,1.3039,3.0280,2.1048
152,15.476,1.3160,2.7030,2.1068
153,15.576,1.2772,2.7470,2.1077
154,15.676,1.2559,2.7030,2.0982
155,15.776,1.2682,2.8370,2.1009
156,15.876,1.2772,2.7470,2.0904
157,15.976,1.2772,2.7470,2.0818
158,16.076,1.2594,2.8370,2.0745
159,16.176,1.2816,2.7030,2.0724
160,16.276,1.2859,2.7470,2.0818
161,16.376,1.2816,2.7910,2.0825
162,16.476,1.2902,2.7030,2.0896
163,16.576,1.2987,2.6170,2.0880
164,16.676,1.3156,2.6170,2.0965
165,16.776,1.3196,2.5750,2.0956
166,16.876,1.2987,2.6170,2.1049
167,16.976,1.3028,2.5750,2.1040
168,17.077,1.2944,2.4930,2.1022
169,17.177,1.2904,2.2990,2.1059
170,17.277,1.2396,2.6170,2.1133
171,17.377,1.2464,2.3370,2.1068
172,17.477,1.2314,2.2620,2.1050
173,17.577,1.2065,2.3370,2.0988
174,17.677,1.1521,2.5750,2.1040
175,17.777,1.1432,2.4530,2.0931
176,17.877,1.1105,2.4530,2.0850
177,18.010,1.0495,2.5330,2.0948
178,18.110,1.0288,2.4530,2.0931
179,18.211,0.9961,2.4530,2.1013
180,18.311,0.9648,2.4930,2.1022
181,18.411,0.9538,2.4140,2.1005
182,18.511,0.8859,2.6590,2.1143
183,18.611,0.8898,2.4530,2.1013
184,18.711,0.8564,2.4140,2.1005
185,18.811,0.8086,2.5330,2.1031
186,18.911,0.7920,2.5750,2.1040
187,19.011,0.7920,2.5750,2.1040
188,19.111,0.7920,2.5330,2.1114
189,19.211,0.7836,2.4530,2.1177
190,19.311,0.7835,2.3750,2.1157
191,19.411,0.7675,2.3370,2.1227
192,19.511,0.7757,2.1900,2.1188
193,19.645,0.7289,2.2260,2.1120
194,19.745,0.6821,2.2260,2.1042
195,19.845,0.6528,2.1550,2.1102
196,19.945,0.5745,2.1900,2.1033
197,20.045,0.5260,2.0860,2.1009
198,20.145,0.4197,2.1900,2.1110
199,20.245,0.4206,1.9860,2.1059
200,20.345,0.4038,1.9220,2.1116
201,20.445,0.3643,1.9540,2.1125
202,20.545,0.3423,1.9540,2.1125
203,20.645,0.3244,1.9860,2.1059
204,20.745,0.3349,1.9540,2.1051
205,20.845,0.3803,1.8600,2.1099
206,20.946,0.4308,1.7700,2.1075
207,21.046,0.4883,1.6550,2.1044
208,21.146,0.5209,1.5730,2.1090
209,21.246,0.5523,1.4940,2.1199
210,21.346,0.6029,1.3940,2.1231
211,21.446,0.6234,1.3690,2.1287
212,21.546,0.6298,1.3690,2.1287
213,21.646,0.6370,1.3450,2.1279
214,21.746,0.6458,1.2750,2.1316
215,21.846,0.6042,1.3690,2.1287
216,21.946,0.5935,1.3220,2.1271
217,22.046,0.5546,1.3450,2.1279
218,22.146,0.5399,1.2750,2.1192
219,22.246,0.4776,1.2750,2.1192
220,22.346,0.3980,1.3220,2.1271
221,22.446,0.4161,1.1420,2.1267
222,22.546,0.3849,1.0990,2.1192
223,22.647,0.3994,1.0180,2.1338
224,22.747,0.3658,1.0580,2.1295
225,22.847,0.3374,1.0990,2.1311
226,22.947,0.3924,0.9780,2.1265
227,23.047,0.3820,1.0180,2.1280
228,23.147,0.4229,0.9590,2.1257
229,23.247,0.4572,0.9590,2.1200
230,23.347,0.4949,0.9200,2.1299
231,23.447,0.5453,0.8460,2.1269
232,23.547,0.5626,0.8290,2.1317
233,23.647,0.5869,0.7930,2.1357
234,23.747,0.5857,0.8110,2.1474
235,23.847,0.6061,0.7410,2.1441
236,23.947,0.5878,0.7760,2.1458
237,24.047,0.5901,0.7410,2.1441
238,24.147,0.5687,0.7410,2.1495
239,24.248,0.5790,0.6590,2.1403
240,24.348,0.5553,0.6270,2.1336
241,24.448,0.5283,0.5800,2.1366
242,24.548,0.5018,0.5350,2.1395
243,24.648,0.5183,0.4070,2.1333
244,24.748,0.4598,0.4620,2.1409
245,24.848,0.4655,0.4070,2.1429
246,24.948,0.4269,0.4910,2.1522
247,25.048,0.4644,0.4200,2.1484
248,25.148,0.4534,0.4760,2.1514
249,25.248,0.4842,0.4620,2.1507
250,25.348,0.4911,0.4910,2.1522
251,25.448,0.5318,0.4200,2.1532
252,25.548,0.5506,0.3660,2.1503
253,25.648,0.5270,0.4200,2.1532
254,25.748,0.5697,0.3010,2.1467
255,25.848,0.5411,0.3660,2.1503
256,25.948,0.5651,0.3010,2.1467
