n,t_s,x_m,y_m,z_m
0,0.000,0.8608,0.1230,1.8342
1,0.133,0.8719,0.0800,1.8410
2,0.233,0.9028,0.0170,1.8240
3,0.333,-0.0606,2.9790,1.8780
4,0.467,2.5535,3.5700,2.0358
5,0.567,2.4587,3.0280,2.1689
6,0.667,2.4089,4.3030,2.1981
7,0.767,2.2690,4.2290,2.2070
8,0.867,1.7144,2.7910,2.1264
9,0.967,0.8434,0.1230,2.1372
10,1.067,0.8514,0.1010,2.1403
11,1.167,0.8555,0.0900,2.1354
12,1.267,0.8394,0.1340,2.1378
13,1.367,0.8514,0.1010,2.1403
14,1.467,0.8673,0.0690,2.1385
15,1.567,0.8474,0.1120,2.1409
16,1.668,0.8434,0.1230,2.1415
17,1.768,0.8514,0.1010,2.1446
18,1.868,0.8555,0.0900,2.1397
19,1.968,0.8434,0.1230,2.1415
20,2.068,0.8779,0.0170,2.1355
21,2.168,0.8629,0.0580,2.1378
22,2.268,0.8431,0.1120,2.1409
23,2.368,0.8742,0.0270,2.1361
24,2.470,0.8472,0.1010,2.1360
25,2.602,0.8391,0.1230,2.1372
26,2.702,0.8429,0.1010,2.1403
27,2.802,0.8429,0.1010,2.1360
28,2.902,0.8307,0.1460,2.1385
29,3.002,0.8267,0.1570,2.1391
30,3.102,0.8555,0.0900,2.1354
31,3.202,0.8394,0.1460,2.1341
32,3.302,0.8189,0.2150,2.1422
33,3.402,0.8643,0.1010,2.1360
34,3.502,0.8482,0.1460,2.1341
35,3.602,0.8442,0.1570,2.1347
36,3.702,0.8564,0.1230,2.1285
37,3.803,0.8191,0.2270,2.1339
38,3.903,0.8481,0.1340,2.1291
39,4.003,0.8315,0.1800,2.1271
40,4.103,0.8315,0.1800,2.1271
41,4.203,0.8012,0.2390,2.1300
42,4.303,0.7965,0.2520,2.1306
43,4.403,0.8011,0.2270,2.1294
44,4.503,0.7877,0.2390,2.1300
45,4.603,0.7692,0.2520,2.1306
46,4.703,0.7606,0.2270,2.1294
47,4.803,0.7562,0.2150,2.1243
48,4.903,0.7379,0.2390,2.1300
49,5.004,0.7135,0.3140,2.1337
